[2025-01-20T18:09:21.160Z] Assessment at index 5987: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.375Z] Assessment at index 252: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.375Z] Assessment at index 254: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.377Z] Assessment at index 257: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.378Z] Assessment at index 258: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.378Z] Assessment at index 259: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.379Z] Assessment at index 260: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.379Z] Assessment at index 261: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.380Z] Assessment at index 262: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.380Z] Assessment at index 263: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.381Z] Assessment at index 515: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.382Z] Assessment at index 923: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.382Z] Assessment at index 983: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.376Z] Assessment at index 255: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.383Z] Assessment at index 1259: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.384Z] Assessment at index 1355: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.385Z] Assessment at index 1463: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.385Z] Assessment at index 1559: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.386Z] Assessment at index 1631: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.386Z] Assessment at index 1679: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.387Z] Assessment at index 2351: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.388Z] Assessment at index 2519: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.375Z] Assessment at index 253: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.389Z] Assessment at index 3071: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.383Z] Assessment at index 1331: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.377Z] Assessment at index 256: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.389Z] Assessment at index 3263: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.392Z] Assessment at index 3527: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.392Z] Assessment at index 3599: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.393Z] Assessment at index 3707: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.391Z] Assessment at index 3515: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.391Z] Assessment at index 3467: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.395Z] Assessment at index 3923: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.396Z] Assessment at index 4703: Field 'score' was empty and has been set to null.
[2025-01-20T18:10:00.390Z] Assessment at index 3419: Field 'score' was empty and has been set to null.
