Name of the show,FEIF ID,Age & Gender,Total,Total w/o pace,Year of a show,Name,Name of the farm (stud),Colour code,Colour,Sire´s FEIF ID,Sire Freq,Name,Name of the farm (stud),Dam´s FEIF ID,Dam Freq,Name,Name of the farm (stud)
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2020201511,4-year old mares,7.86,8.01,2024,Framtíð,Helgatúni,2200,Móbrún,IS2013187105,10,Spaði,Stuðlum,IS2003288343,1,Vænting,Hruna
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2019284237,5-year old mares,7.86,7.94,2024,Gjöf,Hólmum,15s4,"Rauðslettuskjótt, hringeygð h. og v.",IS2015184975,6,Pensill,Hvolsvelli,IS2008284237,1,Brúnblesa,Hólmum
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2018186513,6-year old stallions,7.85,8.16,2024,Glæsir,Áskoti,2500,Brúnn,IS2009186513,3,Narfi,Áskoti,IS1995225150,2,Tinna,Mosfellsbæ
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2018284624,6-year old mares,7.85,8.17,2024,Eldey,Miðkoti,3400,,IS2008184623,1,Fálki,Miðkoti,IS2010284621,1,Enja,Miðkoti
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2018286100,6-year old mares,7.79,7.74,2024,Grund,Kirkjubæ,1620,Dökkrauðstjörnótt,IS2008187685,2,Villingur,Breiðholti í Flóa,IS2002286105,2,Þyrnirós,Kirkjubæ
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2018186808,6-year old stallions,7.79,8.09,2024,Eiðfaxi,Lækjarbotnum,2500,Brúnn m. nokkur hvít hár í enni.,IS2010156418,4,Vegur,Kagaðarhóli,IS1995286808,1,Tara,Lækjarbotnum
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2019136542,5-year old stallions,7.79,8.09,2024,Voði,Ölvaldsstöðum IV,2520,Brúnstjörnóttur,IS2012125421,3,Boði,"Breiðholti, Gbr.",IS2005257802,1,Von,Varmalæk
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2017287056,7-year and older mares,7.76,8.06,2024,Vænting,Auðsholtshjáleigu,6410,Bleikskjótt.,IS2011187660,3,Álfgrímur,Syðri-Gegnishólum,IS2003287015,3,Vár,Auðsholtshjáleigu
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2018286657,6-year old mares,7.74,8.04,2024,Gjöf,Flagbjarnarholti,1750,Sótrauðblesótt,IS2014187804,13,Útherji,Blesastöðum 1A,IS1996287061,1,Gjöf,Hvoli
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2018186515,6-year old stallions,7.7,7.98,2024,Platon,Áskoti,1541,Bleikstjörnóttur,IS2009186513,3,Narfi,Áskoti,IS2011281415,1,Elja,Sauðholti 2
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2017286073,7-year and older mares,7.65,7.46,2024,Trú,Árbakka,2510,brúnskjótt,IS2008187040,2,Örvar,Gljúfri,IS1998286141,2,Toppa,Ármóti
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2017258318,7-year and older mares,7.48,7.67,2024,Gleði,Skúfsstöðum,3500,Jörp,IS2011158163,2,Ringó,Þúfum,IS2000258428,2,Lend,Laufhóli
"Vorsýning Rangárbökkum, vikuna 27. til 31. maí.",IS2017286134,7-year and older mares,7.41,7.7,2024,Fata,Ármóti,6400,Bleik,IS1997186183,9,Sær,Bakkakoti,IS2001225514,1,Aríel,Hafnarfirði
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017125110,7-year and older stallions,8.61,8.51,2024,Guttormur,Dallandi,2500,,IS2006187114,32,Spuni,Vesturkoti,IS2006225109,6,Gróska,Dallandi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017201035,7-year and older mares,8.61,8.64,2024,Kamma,Margrétarhofi,3700,Dökkjörp,IS2006187114,32,Spuni,Vesturkoti,IS2010267169,3,Harpa,Gunnarsstöðum I
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017184162,7-year and older stallions,8.55,8.96,2024,Kór,Skálakoti,2700,Dökkbrúnn,IS2010156107,25,Konsert,Hofi,IS2010284162,1,Sál,Skálakoti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017264227,7-year and older mares,8.49,8.52,2024,Fjöður,Finnastöðum,3543,Jarptvístjörnótt með vagl í auga.,IS2009181827,2,Stekkur,Skák,IS2008265228,3,Aþena,Akureyri
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018158125,6-year old stallions,8.45,8.38,2024,Ambassador,Bræðraá,2700,,IS2009101044,37,Skaginn,Skipaskaga,IS2000276201,2,Tign,Úlfsstöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017181816,7-year and older stallions,8.44,8.27,2024,Herakles,Þjóðólfshaga 1,7500,Mósóttur,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2003237271,3,Hera,Stakkhamri
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018201041,6-year old mares,8.41,8.39,2024,Snekkja,Skipaskaga,3500,,IS2009101044,37,Skaginn,Skipaskaga,IS2007201045,5,Viska,Skipaskaga
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019101178,5-year old stallions,8.39,8.78,2024,Hinrik,Hásæti,1540,"Rauðtvístjörnóttur, hálfblesóttur.",IS2010182570,20,Herkúles,Ragnheiðarstöðum,IS2002284676,4,Maístjarna,Forsæti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017282618,7-year and older mares,8.38,8.31,2024,Veröld,Lækjarbakka,2200,Móbrún,IS2009101044,37,Skaginn,Skipaskaga,IS2008225415,1,Fruma,Hafnarfirði
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017280407,7-year and older mares,8.38,8.36,2024,Hamingja,Bjarkarey,2500,Brún,IS2010156107,25,Konsert,Hofi,IS2003225025,1,Björk,Vindási
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017187936,7-year and older stallions,8.37,8.29,2024,Ari,Votumýri 2,1500,Rauður,IS2009101044,37,Skaginn,Skipaskaga,IS2000276180,3,Önn,Ketilsstöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017165636,7-year and older stallions,8.37,8.47,2024,Bassi,Grund II,2500,Brúnn,IS2007186189,22,Arion,Eystra-Fróðholti,IS2005265630,2,Girnd,Grund II
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018286587,6-year old mares,8.34,8.37,2024,Hvelpa,Ásmundarstöðum 3,200,"Grá, fædd brún.",IS2012181900,13,Jökull,Rauðalæk,IS2000286944,3,Hvellhetta,Ásmundarstöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018284172,6-year old mares,8.32,8.39,2024,Kolka,Fornusöndum,2500,Brún,IS2007184162,91,Skýr,Skálakoti,IS2003284127,3,Drottning,Fornusöndum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019185270,5-year old stallions,8.32,8.7,2024,Sólstafur,Bakkakoti,4550,Leirljósblesóttur,IS2014186076,2,Bjarki,Árbakka,IS1999284371,3,Gyðja,Skíðbakka I
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018286177,6-year old mares,8.32,8.25,2024,Fold,Eystra-Fróðholti,3500,Jörp,IS2009101044,37,Skaginn,Skipaskaga,IS2010286184,1,Gná,Eystra-Fróðholti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017286071,7-year and older mares,8.31,8.69,2024,Flauta,Árbakka,2500,Brún,IS2011135727,21,Forkur,Breiðabólsstað,IS2006286093,2,Flétta,Árbakka
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2016284500,7-year and older mares,8.31,8.35,2024,Dagsbrún,Skíðbakka III,6440,Bleiktvístjörnótt,IS2009187660,7,Álfarinn,Syðri-Gegnishólum,IS1997284501,1,Móna,Skíðbakka III
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019266204,5-year old mares,8.29,8.39,2024,Kempa,Torfunesi,2500,Brún,IS2013158161,6,Sólon,Þúfum,IS2012266214,3,Stefna,Torfunesi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020201854,4-year old mares,8.25,8.37,2024,Brúður,Heljardal,4550,Leirljós blesótt,IS2011187105,50,Draupnir,Stuðlum,IS2011265086,3,Agla,Syðra-Holti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017257003,7-year and older mares,8.25,8.62,2024,Hrafnhetta,Sauðárkróki,2510,,IS2013157651,6,Sigur,Stóra-Vatnsskarði,IS2001257800,3,Kná,Varmalæk
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018187642,6-year old stallions,8.25,8.09,2024,Tindur,Laugarbökkum,2500,Brúnn,IS2006187114,32,Spuni,Vesturkoti,IS2010287645,2,Blökk,Laugarbökkum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019225709,5-year old mares,8.24,8.21,2024,Eik,Valhöll,1510,"Rauðskjótt, mjóblesótt.",IS2012181608,51,Þráinn,Flagbjarnarholti,IS2006225710,3,Embla,Valhöll
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018255040,6-year old mares,8.23,8.21,2024,Valdís,Efri-Fitjum,1540,,IS2012156470,4,Mugison,Hæli,IS2008256499,2,Dama,Blönduósi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017187426,7-year and older stallions,8.22,8.2,2024,Gyllir,Oddgeirshólum,4740,"Dökkleirljós, tvístjörnóttur",IS2011187105,50,Draupnir,Stuðlum,IS2007287435,4,Tíbrá,Bár
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018201039,6-year old mares,8.22,8.61,2024,Spá,Margrétarhofi,3500,Jörp,IS2009135006,23,Ölnir,Akranesi,IS2009201031,4,Spenna,Margrétarhofi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020156818,4-year old stallions,8.22,8.58,2024,Fleygur,Geitaskarði,1780,"Rauður, sótrauður stjórnóttur. Risastór stjarna, sletta á nös. Leistóttur á hægri framfæti og vinstri afturfæti.",IS2013164067,30,Adrían,Garðshorni á Þelamörk,IS2013282572,2,Hrönn,Ragnheiðarstöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018265301,6-year old mares,8.22,8.12,2024,Þoka,Kerhóli,7200,Ljósmóálótt,IS2013165300,2,Bragi,Skriðu,IS2009265558,2,Ösp,Ytri-Bægisá I
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017287421,7-year and older mares,8.18,8.56,2024,Alvara,Langsstöðum,2540,Brúntvístjörnótt,IS2006158620,28,Hrannar,Flugumýri II,IS2001287421,2,Hlýja,Langsstöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019236316,5-year old mares,8.18,8.25,2024,Laufey,Borgarnesi,3500,Jörp,IS2015137725,8,Gljátoppur,Miðhrauni,IS2006236498,2,Sól,Sólheimatungu
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020201834,4-year old mares,8.16,8.17,2024,Fold,Hagabakka,2510,Brúnskjótt,IS2012181608,51,Þráinn,Flagbjarnarholti,IS2012288474,3,Framtíð,Fellskoti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018284675,6-year old mares,8.15,8.51,2024,Ríkey,Álfhólum,8600,,IS2012184667,15,Dagfari,Álfhólum,IS2001284675,1,Ronja,Álfhólum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017225481,7-year and older mares,8.14,8.22,2024,Upplyfting,Reykjavík,2700,Svört,IS2009176234,3,Austri,Úlfsstöðum,IS2009225234,4,Valhöll,Reykjavík
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019280711,5-year old mares,8.14,8.49,2024,Berlín,Barkarstöðum,1551,,IS2007184162,91,Skýr,Skálakoti,IS2007286906,2,Sigríður,Feti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019164301,5-year old stallions,8.14,8.03,2024,Andvari,Kerhóli,3700,Dökkjarpur,IS2013165300,2,Bragi,Skriðu,IS2009265558,2,Ösp,Ytri-Bægisá I
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020181200,4-year old stallions,8.13,8.18,2024,Leikur,Borg,1520,Rauðstjörnóttur,IS2010180716,14,Ljósvaki,Valstrýtu,IS2007281200,3,Leikdís,Borg
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018184309,6-year old stallions,8.12,8.17,2024,Vorboði,Káratanga,1591,"Rauðblesóttur, glófextur m. leist á vinstri afturfæti.",IS2007186104,18,Sjóður,Kirkjubæ,IS1998286019,1,Prúð,Stóra-Hofi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017249860,7-year and older mares,8.1,8.04,2024,Dalía,Kolbeinsá 2,1520,Rauðstjörnótt,IS2005135936,16,Trymbill,Stóra-Ási,IS2001225299,1,Dalla,Reykjavík
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020256464,4-year old mares,8.09,8.43,2024,Jóney,Hæli,3510,Jarpskjótt,IS2015158431,9,Skarpur,Kýrholti,IS2007256460,1,Eyvör,Hæli
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018286787,6-year old mares,8.08,8.31,2024,Sumarrós,Sælukoti,6600,Bleikálótt,IS2011184871,8,Hrókur,Hjarðartúni,IS1996287594,2,Rut,Litlu-Sandvík
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018237636,6-year old mares,8.07,8.03,2024,Ásýnd,Brautarholti,6620,,IS2006187114,32,Spuni,Vesturkoti,IS1999237637,2,Aða,Brautarholti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019187976,5-year old stallions,8.07,8.2,2024,Dalur,Efri-Brúnavöllum I,1520,Rauðstjörnóttur.,IS2014187983,1,Ganti,Vorsabæ II,IS1997265284,1,Dama,Lönguhlíð
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018284701,6-year old mares,8.06,8.17,2024,Sóllilja,Sperðli,2500,Brún,IS2007184162,91,Skýr,Skálakoti,IS2003284700,3,Sigling,Sperðli
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019201829,5-year old mares,8.06,8.08,2024,Hagalína,Úlrikshofi,1515,"Rauðskjótt, blesótt, ægishjálmur h.",IS2007182575,7,Hákon,Ragnheiðarstöðum,IS2000286015,2,Helga,Stóra-Hofi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018287084,6-year old mares,8.06,8.07,2024,Hugdís,Völlum,1515,Rauðskjótt,IS2011187660,3,Álfgrímur,Syðri-Gegnishólum,IS2005257429,1,Heiður,Hjallalandi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019201854,5-year old mares,8.05,8.38,2024,Gló,Heljardal,4200,Leirljós,IS2011187105,50,Draupnir,Stuðlum,IS2011265086,3,Agla,Syðra-Holti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017201657,7-year and older mares,8.05,7.98,2024,Ísól,Aðalbóli 1,3400,Rauðjörp,IS2014186681,6,Viðar,Skeiðvöllum,IS2004288225,2,Íris,Efra-Langholti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020286933,4-year old mares,8.05,8.05,2024,Kvika,Árbæ,7500,Móálótt,IS2015186939,3,Seðill,Árbæ,IS1998225100,1,Kóróna,Mosfellsbæ
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019177156,5-year old stallions,8.03,7.97,2024,Maron,Lækjarbrekku 2,2500,Brúnn,IS2007186189,22,Arion,Eystra-Fróðholti,IS2010277156,2,Marín,Lækjarbrekku 2
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017287816,7-year and older mares,8.03,7.96,2024,Veröld,Blesastöðum 1A,2500,"Brún, yrjótt í enni",IS2011135727,21,Forkur,Breiðabólsstað,IS2008287800,1,Karmen,Blesastöðum 1A
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019184666,5-year old stallions,8.03,8.08,2024,Dynjandi,Álfhólum,2500,,IS2010184670,3,Eldhugi,Álfhólum,IS2005284667,1,Dagrún,Álfhólum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2015237531,7-year and older mares,8.02,7.97,2024,Kvika,Húsanesi,6400,,IS2003181962,15,Ómur,Kvistum,IS2008237531,3,Fúlga,Húsanesi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018288372,6-year old mares,8.02,8.06,2024,Aþena,Hvammi I,1550,,IS2012188158,15,Apollo,Haukholtum,IS2008288371,2,Kríma,Hvammi I
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020287052,4-year old mares,7.99,7.98,2024,Bríet,Auðsholtshjáleigu,6400,Fífilbleik m. nokkur hvít hár í enni.,IS2015188159,1,Hávaði,Haukholtum,IS2003287018,5,Tíbrá,Auðsholtshjáleigu
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019287123,5-year old mares,7.98,8.14,2024,Varða,Torfabæ,200,"Grá, fædd svört.",IS2012181900,13,Jökull,Rauðalæk,IS2013287119,2,Gjá,Torfabæ
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2016265605,7-year and older mares,7.98,8.03,2024,Hrafney,Hrafnagili,900,Grá,IS2003176452,11,Kjerúlf,Kollaleiru,IS2000265494,2,Ösp,Efri-Rauðalæk
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018287005,6-year old mares,7.98,8.03,2024,Katla,Kjarri,2500,,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2001287002,1,Hagsæld,Kjarri
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017288165,7-year and older mares,7.98,8.09,2024,Þöll,Birtingaholti 1,1550,Rauðblesótt.,IS2008187983,13,Hreyfill,Vorsabæ II,IS2002288550,1,Rák,Borgarholti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018201231,6-year old mares,7.97,8.31,2024,Kringla,Tvennu,2520,Brún með litla stjörnu.,IS2006187114,32,Spuni,Vesturkoti,IS2010287800,3,Vesturröst,Blesastöðum 1A
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019282570,5-year old mares,7.97,8.3,2024,Þöll,Ragnheiðarstöðum,2500,Brún,IS2013164067,30,Adrían,Garðshorni á Þelamörk,IS1999287759,2,Þruma,Hólshúsum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020287844,4-year old mares,7.96,8.29,2024,Hátíð,Kálfhóli 2,7500,Móálótt.,IS2004182712,10,Loki,Selfossi,IS2008287841,1,Alvara,Kálfhóli 2
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018286710,6-year old mares,7.95,8.28,2024,Dalla,Leirubakka,1500,Rauð,IS2009186700,3,Oddaverji,Leirubakka,IS2007286701,3,Nös,Leirubakka
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020225709,4-year old mares,7.94,8.02,2024,Rut,Valhöll,1521,,IS2014101486,6,Viðar,Skör,IS2006225710,3,Embla,Valhöll
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019182115,5-year old stallions,7.93,8.24,2024,Ás,Vindási,620,"Grár, fæddur fífilbleikstjörnóttur.",IS2012181900,13,Jökull,Rauðalæk,IS2009287624,5,Sif,Akurgerði II
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020184162,4-year old stallions,7.93,8.27,2024,Kabarett,Skálakoti,3500,Jarpur,IS2012188095,52,Kveikur,Stangarlæk 1,IS2009284162,1,Sonnetta,Skálakoti
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017284236,7-year and older mares,7.93,8.25,2024,Snerpa,Hólmum,150,"Grá, fædd dökkrauðblesótt.",IS2007186992,16,Jarl,Árbæjarhjáleigu II,IS1999266604,1,Gjósta,Laufási
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019184669,5-year old stallions,7.93,8.09,2024,Síríus,Álfhólum,8300,Jarpvindóttur,IS2012184667,15,Dagfari,Álfhólum,IS1996284666,1,Gasella,Álfhólum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019282572,5-year old mares,7.92,7.92,2024,Alda,Ragnheiðarstöðum,5500,Moldótt,IS2013187105,10,Spaði,Stuðlum,IS2007282570,1,Helga-Ósk,Ragnheiðarstöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019235086,5-year old mares,7.88,8.2,2024,María,Steinsholti 1,2500,,IS2007186189,22,Arion,Eystra-Fróðholti,IS2011256955,2,Þyrnirós,Skagaströnd
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018287138,6-year old mares,7.86,8.19,2024,Brá,Sunnuhvoli,1520,"Rauð, nokkur hvít hár í enni.",IS2010186682,4,Völsungur,Skeiðvöllum,IS2005287139,2,Blekking,Sunnuhvoli
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019188520,5-year old stallions,7.85,8.15,2024,Eyvindur,Bræðratungu,8600,,IS2007186104,18,Sjóður,Kirkjubæ,IS2005288522,2,Eskja,Bræðratungu
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019284502,5-year old mares,7.84,7.98,2024,Frægð,Skíðbakka III,2510,"Brúnskjótt, tvístjörnótt.",IS2013157651,6,Sigur,Stóra-Vatnsskarði,IS2009284504,3,Flugsvinn,Skíðbakka III
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019187573,5-year old stallions,7.82,8.11,2024,Frami,Austurási,1510,"Rauðskjóttur, höttóttur, blesóttur, skottóttur.",IS2014187804,13,Útherji,Blesastöðum 1A,IS2013287574,2,Flís,Austurási
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019286217,5-year old mares,7.81,8.12,2024,Útrás,Þverholti,2700,Dökkbrún / Svört,IS2012188095,52,Kveikur,Stangarlæk 1,IS2004284263,4,Úlfbrún,Kanastöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018264303,6-year old mares,7.8,8.11,2024,Sóllilja,Kerhóli,1590,"Rauðblesótt, leistótt",IS2013164067,30,Adrían,Garðshorni á Þelamörk,IS2006265555,1,Þota,Ytri-Bægisá I
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2018284237,6-year old mares,7.8,8.12,2024,Tíbrá,Hólmum,1557,"Rauðblesótt, glófext, hringeygð v. og hálf hringeygð h.",IS2015184975,6,Pensill,Hvolsvelli,IS2010280356,1,Ylfa,Lágafelli
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2017284263,7-year and older mares,7.79,8.1,2024,Eldvör,Kanastöðum,200,Grá,IS2010184670,3,Eldhugi,Álfhólum,IS2002284265,1,Skessa,Kanastöðum
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019282379,5-year old mares,7.78,8.09,2024,Hríma,Hólaborg,2500,"Brún, gráyrjótt í feldi",IS2008187983,13,Hreyfill,Vorsabæ II,IS2009249017,1,Saga,Laugabóli
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020238297,4-year old mares,7.77,7.67,2024,Huld,Sauðafelli,2515,Brúnn skjótt-höttótt með ægishjálm,IS2012181608,51,Þráinn,Flagbjarnarholti,IS2007238296,2,Hnota,Sauðafelli
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2015288279,7-year and older mares,7.73,7.79,2024,Sóldögg,Túnsbergi,1510,,IS2007187018,7,Toppur,Auðsholtshjáleigu,IS2002288277,1,Særós,Túnsbergi
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2020286700,4-year old mares,7.53,7.79,2024,Gripla,Leirubakka,6400,"Bleik, nokkur hvít hár í enni.",IS2014186903,12,Fenrir,Feti,IS2010286702,3,Gjóska,Leirubakka
"Vorsýning Rangárbökkum, vikuna 18. til 21. júní.",IS2019225436,5-year old mares,7.47,7.61,2024,Þokkadís,Þúfu í Kjós,1752,Gæti orðið glófext,IS2013182365,13,Ísak,Þjórsárbakka,IS2007225436,1,Svartarós,Þúfu í Kjós
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018166202,6-year old stallions,8.68,8.76,2024,Hervir,Torfunesi,2500,,IS2013166214,4,Þór,Torfunesi,IS2001266211,2,Myrkva,Torfunesi
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018188591,6-year old stallions,8.58,8.59,2024,Skugga-Sveinn,Austurhlíð 2,2500,Brúnn,IS2006158620,28,Hrannar,Flugumýri II,IS2006287420,2,Ör,Langsstöðum
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018255122,6-year old mares,8.53,8.57,2024,Olga,Lækjamóti II,1250,Ljósrauðblesótt.,IS2007184162,91,Skýr,Skálakoti,IS2010255102,2,Hafdís,Lækjamóti
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018157298,6-year old stallions,8.52,8.95,2024,Hulinn,Breiðstöðum,2700,,IS2012188095,52,Kveikur,Stangarlæk 1,IS2005257298,2,Díana,Breiðstöðum
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2015157777,7-year and older stallions,8.5,8.43,2024,Ölur,Reykjavöllum,1500,Rauður,IS2006135469,2,Narri,Vestri-Leirárgörðum,IS2002257004,5,Hrísla,Sauðárkróki
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2019101034,5-year old stallions,8.5,8.93,2024,Baldvin,Margrétarhofi,2500,Brúnn.,IS2012188095,52,Kveikur,Stangarlæk 1,IS2007201031,2,Gletta,Margrétarhofi
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018186596,6-year old stallions,8.44,8.5,2024,Kjarni,Herríðarhóli,1600,,IS2004156286,32,Kiljan,Steinnesi,IS2007286598,2,Huldumær,Herríðarhóli
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2017201046,7-year and older mares,8.43,8.37,2024,Snerting,Skipaskaga,1500,,IS2007186104,18,Sjóður,Kirkjubæ,IS2004235026,3,Skynjun,Skipaskaga
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2020137017,4-year old stallions,8.41,8.53,2024,Njörður,Hrísakoti,7500,Móálóttur.,IS2015137725,8,Gljátoppur,Miðhrauni,IS2004280617,3,Hugrún,Strönd II
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018265636,6-year old mares,8.4,8.79,2024,Perla,Grund II,4500,Dökkleirljós,IS2011187105,50,Draupnir,Stuðlum,IS2007265630,5,Grund,Grund II
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018166206,6-year old stallions,8.4,8.38,2024,Eimur,Torfunesi,1550,Rauðblesóttur,IS2008166211,1,Karl,Torfunesi,IS2003266201,1,Elding,Torfunesi
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2018135941,6-year old stallions,8.38,8.3,2024,Salvar,Hellubæ,7500,Móálóttur,IS2013187660,59,Álfaklettur,Syðri-Gegnishólum,IS2010235941,2,Hamingja,Hellubæ
"Vorsýning Rangárbökkum, vikuna 10. til 14. júní.",IS2020286931,4-year old mares,8.38,8.36,2024,Kría,Árbæ,2500,Brún,IS2013187105,10,Spaði,Stuðlum,IS2010286931,2,Keila,Árbæ
